REF_DATE,GEO,DGUID,Type of currency,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
5/6/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,,..,,,4
5/7/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,,..,,,4
5/8/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.848,,,,4
5/9/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8473,,,,4
5/10/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8503,,,,4
5/11/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8501,,,,4
5/12/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8393,,,,4
5/13/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,,..,,,4
5/14/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,,..,,,4
5/15/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8398,,,,4
5/16/2023,Canada,2016A000011124,"New Zealand dollar, daily average",Dollars,81,units,0,v111666234,1.11,0.8388,,,,4
5/1/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1262,,,,4
5/2/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1262,,,,4
5/3/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1265,,,,4
5/4/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1267,,,,4
5/5/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1268,,,,4
5/6/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,,..,,,4
5/7/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,,..,,,4
5/8/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1274,,,,4
5/9/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1267,,,,4
5/10/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1274,,,,4
5/11/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1266,,,,4
5/12/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1267,,,,4
5/13/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,,..,,,4
5/14/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,,..,,,4
5/15/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1269,,,,4
5/16/2023,Canada,2016A000011124,"Norwegian krone, daily average",Dollars,81,units,0,v111666235,1.12,0.1257,,,,4
5/1/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3655,,,,4
5/2/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3671,,,,4
5/3/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.367,,,,4
5/4/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3651,,,,4
5/5/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.362,,,,4
5/6/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,,..,,,4
5/7/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,,..,,,4
5/8/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3606,,,,4
5/9/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3622,,,,4
5/10/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3638,,,,4
5/11/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3673,,,,4
5/12/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3702,,,,4
5/13/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,,..,,,4
5/14/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,,..,,,4
5/15/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3681,,,,4
5/16/2023,Canada,2016A000011124,"Peruvian new sol, daily average",Dollars,81,units,0,v111666236,1.13,0.3657,,,,4
